Institute,Branch Name,Quota,Category,Seat Pool,Rank,Percentile,Round No,University
JSPM  TATHAWADE,Computer Science and Business Systems,HU,NT3,Gender-Neutral,15405,93.8586283,1,SPPU
JSPM  TATHAWADE,Computer Science and Business Systems,HU,VJ,Gender-Neutral,25138,89.7275823,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,OPEN,Gender-Neutral,48039,79.7413145,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,OBC,Gender-Neutral,56038,75.867353,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,SC,Gender-Neutral,57575,75.1476841,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,ST,Gender-Neutral,70315,68.3823818,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,NT1,Gender-Neutral,61681,73.1851907,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,NT2,Gender-Neutral,52926,77.0079706,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,NT3,Gender-Neutral,82886,60.8798115,1,SPPU
JSPM  TATHAWADE,ELECTRICAL,HU,VJ,Gender-Neutral,127139,23.2280676,1,SPPU
JSPM  TATHAWADE,ENTC,HU,OPEN,Gender-Neutral,20234,91.7707151,1,SPPU
JSPM  TATHAWADE,ENTC,HU,OBC,Gender-Neutral,22299,90.9958615,1,SPPU
JSPM  TATHAWADE,ENTC,HU,SC,Gender-Neutral,34131,85.9227307,1,SPPU
JSPM  TATHAWADE,ENTC,HU,ST,Gender-Neutral,121896,29.2444305,1,SPPU
JSPM  TATHAWADE,ENTC,HU,NT1,Gender-Neutral,29271,88.0751247,1,SPPU
JSPM  TATHAWADE,ENTC,HU,NT2,Gender-Neutral,20868,91.6480738,1,SPPU
JSPM  TATHAWADE,ENTC,HU,NT3,Gender-Neutral,23945,90.2424513,1,SPPU
JSPM  TATHAWADE,ENTC,HU,VJ,Gender-Neutral,37954,84.216054,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,OPEN,Gender-Neutral,61983,73.0265619,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,OBC,Gender-Neutral,66767,70.2813361,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,SC,Gender-Neutral,96943,50.8083922,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,ST,Gender-Neutral,86566,58.1382561,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,NT1,Gender-Neutral,101908,47.3478734,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,NT2,Gender-Neutral,71046,67.711928,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,NT3,Gender-Neutral,75058,65.4207881,1,SPPU
JSPM  TATHAWADE,MECHANICAL,HU,VJ,Gender-Neutral,100423,48.9725355,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,OPEN,Gender-Neutral,32386,86.6965956,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,OBC,Gender-Neutral,39310,83.4300164,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,SC,Gender-Neutral,50254,78.4161664,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,ST,Gender-Neutral,58729,74.4658288,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,NT1,Gender-Neutral,41668,82.4443082,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,NT2,Gender-Neutral,40436,83.2373857,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,NT3,Gender-Neutral,50327,78.4065273,1,SPPU
JSPM  TATHAWADE,Automation and Robotics,HU,VJ,Gender-Neutral,59308,74.1356658,1,SPPU
Cummins College,CS,HU,OPEN,Gender-Neutral,3225,98.7308947,1,SPPU
Cummins College,CS,HU,OBC,Gender-Neutral,4352,98.2961113,1,SPPU
Cummins College,CS,HU,SC,Gender-Neutral,16119,93.5868331,1,SPPU
Cummins College,CS,HU,ST,Gender-Neutral,79418,62.7344336,1,SPPU
Cummins College,CS,HU,NT1,Gender-Neutral,8986,96.5051241,1,SPPU
Cummins College,CS,HU,NT2,Gender-Neutral,8996,96.5051241,1,SPPU
Cummins College,CS,HU,NT3,Gender-Neutral,9921,96.125889,1,SPPU
Cummins College,CS,HU,VJ,Gender-Neutral,17231,93.1206307,1,SPPU
Cummins College,IT,HU,OPEN,Gender-Neutral,4167,98.3772737,1,SPPU
Cummins College,IT,HU,OBC,Gender-Neutral,4850,98.1343284,1,SPPU
Cummins College,IT,HU,SC,Gender-Neutral,19679,92.1314889,1,SPPU
Cummins College,IT,HU,ST,Gender-Neutral,84913,59.6839864,1,SPPU
Cummins College,IT,HU,NT1,Gender-Neutral,10653,95.8552138,1,SPPU
Cummins College,IT,HU,NT2,Gender-Neutral,9524,96.2813957,1,SPPU
Cummins College,IT,HU,NT3,Gender-Neutral,9985,96.0739719,1,SPPU
Cummins College,IT,HU,VJ,Gender-Neutral,18124,92.733306,1,SPPU
Cummins College,ENTC,HU,OPEN,Gender-Neutral,8038,96.87547,1,SPPU
Cummins College,ENTC,HU,OBC,Gender-Neutral,10527,95.8847737,1,SPPU
Cummins College,ENTC,HU,SC,Gender-Neutral,31548,86.9739855,1,SPPU
Cummins College,ENTC,HU,ST,Gender-Neutral,123085,27.6545345,1,SPPU
Cummins College,ENTC,HU,NT1,Gender-Neutral,19715,92.1314889,1,SPPU
Cummins College,ENTC,HU,NT2,Gender-Neutral,12075,95.2749719,1,SPPU
Cummins College,ENTC,HU,NT3,Gender-Neutral,14640,94.208479,1,SPPU
Cummins College,ENTC,HU,VJ,Gender-Neutral,25725,89.5231349,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,OPEN,Gender-Neutral,19303,92.2256284,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,OBC,Gender-Neutral,25514,89.690179,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,SC,Gender-Neutral,66139,70.6180504,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,ST,Gender-Neutral,104838,44.6898706,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,NT1,Gender-Neutral,75238,65.3263316,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,NT2,Gender-Neutral,51632,78.067557,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,NT3,Gender-Neutral,35204,85.3534944,1,SPPU
Cummins College,Instrumentation and Control Engineering,HU,VJ,Gender-Neutral,44174,81.2345291,1,SPPU
Cummins College,Mechanical,HU,OPEN,Gender-Neutral,17675,92.9051391,1,SPPU
Cummins College,Mechanical,HU,OBC,Gender-Neutral,26454,89.2735528,1,SPPU
Cummins College,Mechanical,HU,SC,Gender-Neutral,81284,61.4332053,1,SPPU
Cummins College,Mechanical,HU,ST,Gender-Neutral,59435,74.0797795,1,SPPU
Cummins College,Mechanical,HU,NT1,Gender-Neutral,47930,79.7413145,1,SPPU
Cummins College,Mechanical,HU,NT2,Gender-Neutral,57570,75.1476841,1,SPPU
Cummins College,Mechanical,HU,NT3,Gender-Neutral,34301,85.9219677,1,SPPU
Cummins College,Mechanical,HU,VJ,Gender-Neutral,52289,77.7994669,1,SPPU
VIT,Chemical,HU,OPEN,Gender-Neutral,19807,92.1155289,1,SPPU
VIT,Chemical,HU,OBC,Gender-Neutral,26555,89.1792071,1,SPPU
VIT,Chemical,HU,SC,Gender-Neutral,32548,86.6370673,1,SPPU
VIT,Chemical,HU,ST,Gender-Neutral,123635,27.145045,1,SPPU
VIT,Chemical,HU,NT1,Gender-Neutral,55096,76.2843676,1,SPPU
VIT,Chemical,HU,NT2,Gender-Neutral,32457,86.6965956,1,SPPU
VIT,Chemical,HU,NT3,Gender-Neutral,50295,78.4161664,1,SPPU
VIT,Chemical,HU,VJ,Gender-Neutral,20160,91.804929,1,SPPU
VIT,Mechanical,HU,OPEN,Gender-Neutral,11081,95.660165,1,SPPU
VIT,Mechanical,HU,OBC,Gender-Neutral,15580,93.8108199,1,SPPU
VIT,Mechanical,HU,SC,Gender-Neutral,29750,87.7770341,1,SPPU
VIT,Mechanical,HU,ST,Gender-Neutral,123276,27.3241113,1,SPPU
VIT,Mechanical,HU,NT1,Gender-Neutral,29177,88.0771545,1,SPPU
VIT,Mechanical,HU,NT2,Gender-Neutral,18840,92.4568642,1,SPPU
VIT,Mechanical,HU,NT3,Gender-Neutral,22235,91.0138421,1,SPPU
VIT,Mechanical,HU,VJ,Gender-Neutral,40202,83.348395,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,OPEN,Gender-Neutral,2942,98.8527647,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,OBC,Gender-Neutral,3247,98.7205387,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,SC,Gender-Neutral,11470,95.5068431,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,ST,Gender-Neutral,26281,89.3527871,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,NT1,Gender-Neutral,4372,98.2931727,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,NT2,Gender-Neutral,3710,98.5633908,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,NT3,Gender-Neutral,5872,97.7443048,1,SPPU
VIT,CSE (Artificial Intelligence and Machine Learning),HU,VJ,Gender-Neutral,6412,97.5196409,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,OPEN,Gender-Neutral,3404,98.665225,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,OBC,Gender-Neutral,3871,98.497446,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,SC,Gender-Neutral,11074,95.6795422,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,ST,Gender-Neutral,34320,85.9219677,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,NT1,Gender-Neutral,4646,98.192048,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,NT2,Gender-Neutral,4052,98.4244234,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,NT3,Gender-Neutral,6141,97.6333538,1,SPPU
VIT,Computer Science and Engineering (Artificial Intelligence),HU,VJ,Gender-Neutral,7241,97.2171379,1,SPPU
VIT,AIDS,HU,OPEN,Gender-Neutral,3979,98.4546548,1,SPPU
VIT,AIDS,HU,OBC,Gender-Neutral,4366,98.2961113,1,SPPU
VIT,AIDS,HU,SC,Gender-Neutral,14347,94.3626357,1,SPPU
VIT,AIDS,HU,ST,Gender-Neutral,49766,78.7120349,1,SPPU
VIT,AIDS,HU,NT1,Gender-Neutral,6459,97.5168711,1,SPPU
VIT,AIDS,HU,NT2,Gender-Neutral,5418,97.9119196,1,SPPU
VIT,AIDS,HU,NT3,Gender-Neutral,6111,97.6500226,1,SPPU
VIT,AIDS,HU,VJ,Gender-Neutral,7376,97.1523959,1,SPPU
VIT,CS,HU,OPEN,Gender-Neutral,1869,99.237879,1,SPPU
VIT,CS,HU,OBC,Gender-Neutral,2147,99.1283202,1,SPPU
VIT,CS,HU,SC,Gender-Neutral,7496,97.1224198,1,SPPU
VIT,CS,HU,ST,Gender-Neutral,28510,88.2803409,1,SPPU
VIT,CS,HU,NT1,Gender-Neutral,4629,98.1943767,1,SPPU
VIT,CS,HU,NT2,Gender-Neutral,2156,99.1238065,1,SPPU
VIT,CS,HU,NT3,Gender-Neutral,2654,98.9502201,1,SPPU
VIT,CS,HU,VJ,Gender-Neutral,2910,98.855964,1,SPPU
VIT,IT,HU,OPEN,Gender-Neutral,2489,99.0182954,1,SPPU
VIT,IT,HU,OBC,Gender-Neutral,2734,98.9338939,1,SPPU
VIT,IT,HU,SC,Gender-Neutral,9153,96.4414768,1,SPPU
VIT,IT,HU,ST,Gender-Neutral,33315,86.2561357,1,SPPU
VIT,IT,HU,NT1,Gender-Neutral,5915,97.7289694,1,SPPU
VIT,IT,HU,NT2,Gender-Neutral,2757,98.9058505,1,SPPU
VIT,IT,HU,NT3,Gender-Neutral,2712,98.939513,1,SPPU
VIT,IT,HU,VJ,Gender-Neutral,5189,98.0045011,1,SPPU
VIT,ENTC,HU,OPEN,Gender-Neutral,5013,98.0707133,1,SPPU
VIT,ENTC,HU,OBC,Gender-Neutral,5826,97.7553311,1,SPPU
VIT,ENTC,HU,SC,Gender-Neutral,18210,92.6748971,1,SPPU
VIT,ENTC,HU,ST,Gender-Neutral,78223,63.6910141,1,SPPU
VIT,ENTC,HU,NT1,Gender-Neutral,7931,96.9303086,1,SPPU
VIT,ENTC,HU,NT2,Gender-Neutral,7501,97.118102,1,SPPU
VIT,ENTC,HU,NT3,Gender-Neutral,5271,97.9642817,1,SPPU
VIT,ENTC,HU,VJ,Gender-Neutral,10996,95.6910814,1,SPPU
VIT,Instrumentation and Control,HU,OPEN,Gender-Neutral,15032,94.0399594,1,SPPU
VIT,Instrumentation and Control,HU,OBC,Gender-Neutral,20107,91.804929,1,SPPU
VIT,Instrumentation and Control,HU,SC,Gender-Neutral,32799,86.3770498,1,SPPU
VIT,Instrumentation and Control,HU,ST,Gender-Neutral,132386,16.9363708,1,SPPU
VIT,Instrumentation and Control,HU,NT1,Gender-Neutral,18097,92.733306,1,SPPU
VIT,Instrumentation and Control,HU,NT2,Gender-Neutral,16319,93.521357,1,SPPU
VIT,Instrumentation and Control,HU,NT3,Gender-Neutral,37216,84.4681938,1,SPPU
VIT,Instrumentation and Control,HU,VJ,Gender-Neutral,40810,83.0041152,1,SPPU
VIIT,CS,HU,OPEN,Gender-Neutral,4038,98.4244234,1,SPPU
VIIT,CS,HU,OBC,Gender-Neutral,4426,98.2750869,1,SPPU
VIIT,CS,HU,SC,Gender-Neutral,12165,95.2286363,1,SPPU
VIIT,CS,HU,ST,Gender-Neutral,43641,81.5104589,1,SPPU
VIIT,CS,HU,NT1,Gender-Neutral,6045,97.6688314,1,SPPU
VIIT,CS,HU,NT2,Gender-Neutral,4855,98.1183995,1,SPPU
VIIT,CS,HU,NT3,Gender-Neutral,4896,98.1087382,1,SPPU
VIIT,CS,HU,VJ,Gender-Neutral,8400,96.7339025,1,SPPU
VIIT,IT,HU,OPEN,Gender-Neutral,4871,98.1183995,1,SPPU
VIIT,IT,HU,OBC,Gender-Neutral,5064,98.0546203,1,SPPU
VIIT,IT,HU,SC,Gender-Neutral,15034,94.0399594,1,SPPU
VIIT,IT,HU,ST,Gender-Neutral,54056,76.7693871,1,SPPU
VIIT,IT,HU,NT1,Gender-Neutral,6817,97.3774785,1,SPPU
VIIT,IT,HU,NT2,Gender-Neutral,4946,98.0762766,1,SPPU
VIIT,IT,HU,NT3,Gender-Neutral,5695,97.7965436,1,SPPU
VIIT,IT,HU,VJ,Gender-Neutral,11354,95.5823293,1,SPPU
VIIT,Civil,HU,OPEN,Gender-Neutral,26375,89.2906503,1,SPPU
VIIT,Civil,HU,OBC,Gender-Neutral,34031,86.0109616,1,SPPU
VIIT,Civil,HU,SC,Gender-Neutral,43527,81.8534982,1,SPPU
VIIT,Civil,HU,ST,Gender-Neutral,64573,71.3590844,1,SPPU
VIIT,Civil,HU,NT1,Gender-Neutral,55661,75.8958975,1,SPPU
VIIT,Civil,HU,NT2,Gender-Neutral,30683,87.3774785,1,SPPU
VIIT,Civil,HU,NT3,Gender-Neutral,28982,88.0989788,1,SPPU
VIIT,Civil,HU,VJ,Gender-Neutral,29731,87.7770341,1,SPPU
VIIT,ENTC,HU,OPEN,Gender-Neutral,9181,96.432707,1,SPPU
VIIT,ENTC,HU,OBC,Gender-Neutral,10634,95.8552138,1,SPPU
VIIT,ENTC,HU,SC,Gender-Neutral,23882,90.2424513,1,SPPU
VIIT,ENTC,HU,ST,Gender-Neutral,109141,41.1609401,1,SPPU
VIIT,ENTC,HU,NT1,Gender-Neutral,12877,94.8920622,1,SPPU
VIIT,ENTC,HU,NT2,Gender-Neutral,12867,94.8920622,1,SPPU
VIIT,ENTC,HU,NT3,Gender-Neutral,11266,95.6228329,1,SPPU
VIIT,ENTC,HU,VJ,Gender-Neutral,25470,89.690179,1,SPPU
VIIT,Mechanical,HU,OPEN,Gender-Neutral,20462,91.7414317,1,SPPU
VIIT,Mechanical,HU,OBC,Gender-Neutral,26490,89.2735528,1,SPPU
VIIT,Mechanical,HU,SC,Gender-Neutral,39940,83.375844,1,SPPU
VIIT,Mechanical,HU,ST,Gender-Neutral,88305,56.982253,1,SPPU
VIIT,Mechanical,HU,NT1,Gender-Neutral,34674,85.6187666,1,SPPU
VIIT,Mechanical,HU,NT2,Gender-Neutral,27482,88.7938441,1,SPPU
